Year,type of disease,sex,age group,Value
2012,a) acute respiratory infections,female,,24.64
2013,a) acute respiratory infections,female,,26.43
2014,a) acute respiratory infections,female,,20.97
2015,a) acute respiratory infections,female,,26.2
2016,a) acute respiratory infections,female,,23.2
2017,a) acute respiratory infections,female,,26.06
2018,a) acute respiratory infections,female,,28.6
2019,a) acute respiratory infections,female,,24.03
2020,a) acute respiratory infections,female,,19.26
2010,b) diarrhoea,female,,4.5
2011,b) diarrhoea,female,,7.09
2012,b) diarrhoea,female,,8.53
2013,b) diarrhoea,female,,8.75
2014,b) diarrhoea,female,,7.87
2015,b) diarrhoea,female,,8.53
2016,b) diarrhoea,female,,7.0
2017,b) diarrhoea,female,,6.55
2018,b) diarrhoea,female,,6.15
2019,b) diarrhoea,female,,5.17
2020,b) diarrhoea,female,,4.45
2010,c) intestinal nematode infections,female,,0.0
2011,c) intestinal nematode infections,female,,0.0
2012,c) intestinal nematode infections,female,,0.0
2013,c) intestinal nematode infections,female,,0.0
2014,c) intestinal nematode infections,female,,0.0
2015,c) intestinal nematode infections,female,,0.0
2016,c) intestinal nematode infections,female,,0.0
2017,c) intestinal nematode infections,female,,0.0
2018,c) intestinal nematode infections,female,,0.0
2019,c) intestinal nematode infections,female,,0.0
2020,c) intestinal nematode infections,female,,0.0
2010,d) protein-energy malnutrition,female,,0.37
2011,d) protein-energy malnutrition,female,,0.4
2012,d) protein-energy malnutrition,female,,0.37
2013,d) protein-energy malnutrition,female,,0.47
2014,d) protein-energy malnutrition,female,,0.43
2015,d) protein-energy malnutrition,female,,0.75
2016,d) protein-energy malnutrition,female,,0.7
2017,d) protein-energy malnutrition,female,,0.98
2018,d) protein-energy malnutrition,female,,0.99
2019,d) protein-energy malnutrition,female,,1.1
2020,d) protein-energy malnutrition,female,,1.27
2010,a) acute respiratory infections,,4 years and younger,0.77
2011,a) acute respiratory infections,,4 years and younger,1.15
2012,a) acute respiratory infections,,4 years and younger,0.83
2013,a) acute respiratory infections,,4 years and younger,0.91
2014,a) acute respiratory infections,,4 years and younger,0.9
2015,a) acute respiratory infections,,4 years and younger,1.15
2016,a) acute respiratory infections,,4 years and younger,0.84
2017,a) acute respiratory infections,,4 years and younger,0.47
2018,a) acute respiratory infections,,4 years and younger,0.85
2019,a) acute respiratory infections,,4 years and younger,0.74
2020,a) acute respiratory infections,,4 years and younger,0.58
2010,b) diarrhoea,,4 years and younger,0.32
2011,b) diarrhoea,,4 years and younger,0.15
2012,b) diarrhoea,,4 years and younger,0.24
2013,b) diarrhoea,,4 years and younger,0.35
2014,b) diarrhoea,,4 years and younger,0.17
2015,b) diarrhoea,,4 years and younger,0.23
2016,b) diarrhoea,,4 years and younger,0.33
2017,b) diarrhoea,,4 years and younger,0.26
2018,b) diarrhoea,,4 years and younger,0.41
2019,b) diarrhoea,,4 years and younger,0.15
2020,b) diarrhoea,,4 years and younger,0.08
2010,c) intestinal nematode infections,,4 years and younger,0.0
2011,c) intestinal nematode infections,,4 years and younger,0.0
2012,c) intestinal nematode infections,,4 years and younger,0.0
2013,c) intestinal nematode infections,,4 years and younger,0.0
2014,c) intestinal nematode infections,,4 years and younger,0.0
2015,c) intestinal nematode infections,,4 years and younger,0.0
2016,c) intestinal nematode infections,,4 years and younger,0.0
2017,c) intestinal nematode infections,,4 years and younger,0.0
2018,c) intestinal nematode infections,,4 years and younger,0.0
2019,c) intestinal nematode infections,,4 years and younger,0.0
2020,c) intestinal nematode infections,,4 years and younger,0.0
2010,d) protein-energy malnutrition,,4 years and younger,0.03
2011,d) protein-energy malnutrition,,4 years and younger,0.0
2012,d) protein-energy malnutrition,,4 years and younger,0.0
2013,d) protein-energy malnutrition,,4 years and younger,0.0
2014,d) protein-energy malnutrition,,4 years and younger,0.0
2015,d) protein-energy malnutrition,,4 years and younger,0.0
2016,d) protein-energy malnutrition,,4 years and younger,0.0
2017,d) protein-energy malnutrition,,4 years and younger,0.0
2018,d) protein-energy malnutrition,,4 years and younger,0.0
2019,d) protein-energy malnutrition,,4 years and younger,0.0
2020,d) protein-energy malnutrition,,4 years and younger,0.0
