Year,Units,age group,sex,form of exploitation,Value
2013,number,,male,sexual exploitation,23.0
2014,number,,male,sexual exploitation,26.0
2015,number,,male,sexual exploitation,11.0
2016,number,,male,sexual exploitation,17.0
2017,number,,male,sexual exploitation,4.0
2018,number,,male,sexual exploitation,14.0
2019,number,,male,sexual exploitation,22.0
2020,number,,male,sexual exploitation,23.0
2021,number,,male,sexual exploitation,23.0
2010,number,,unknown,sexual exploitation,5.0
2011,number,,unknown,sexual exploitation,6.0
2012,number,,unknown,sexual exploitation,3.0
2013,number,,unknown,sexual exploitation,1.0
2014,number,,unknown,sexual exploitation,0.0
2015,number,,unknown,sexual exploitation,6.0
2016,number,,unknown,sexual exploitation,5.0
2017,number,,unknown,sexual exploitation,1.0
2018,number,,unknown,sexual exploitation,3.0
2019,number,,unknown,sexual exploitation,0.0
2020,number,,unknown,sexual exploitation,2.0
2021,number,,unknown,sexual exploitation,7.0
