Year,substance,bound,sex,Series,Value
2020,drugs,,unknown,inpatient treatment of substance use disorders,
2021,drugs,,unknown,inpatient treatment of substance use disorders,
2010,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,191512.0
2011,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,192159.0
2012,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,195976.0
2013,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,194412.0
2014,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,185305.0
2015,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,176185.0
2016,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,170467.0
2017,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,165834.0
2018,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,161247.0
2019,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,159421.0
2020,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,139044.0
2021,alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,138033.0
2010,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,49139.0
2011,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,50796.0
2012,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,52487.0
2013,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,51211.0
2014,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,49460.0
2015,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,46377.0
2016,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,44589.0
2017,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,43574.0
2018,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,42716.0
2019,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,42158.0
2020,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,36512.0
2021,alcohol and other psychoactive substances,,female,inpatient treatment of substance use disorders,37002.0
2010,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,142373.0
2011,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,141363.0
2012,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,143488.0
2013,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,143201.0
2014,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,135845.0
2015,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,129808.0
2016,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,125878.0
2017,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,122260.0
2018,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,118531.0
2019,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,117263.0
2020,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,102532.0
2021,alcohol and other psychoactive substances,,male,inpatient treatment of substance use disorders,101031.0
2010,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2011,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2012,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,1.0
2013,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2014,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2015,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2016,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2017,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2018,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2019,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2020,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2021,alcohol and other psychoactive substances,,unknown,inpatient treatment of substance use disorders,
2010,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215078.0
2011,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",231052.0
2012,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",218360.0
2013,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215436.0
2014,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",230672.0
2015,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",225471.0
2016,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",225324.0
2017,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",217220.0
2018,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",204906.0
2019,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",182451.0
2020,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",181668.0
2021,,lower bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",
2010,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",255405.0
2011,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",274374.0
2012,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",259303.0
2013,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",255830.0
2014,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",273923.0
2015,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",267747.0
2016,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",267572.0
2017,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",257949.0
2018,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",243326.0
2019,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",216660.0
2020,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215731.0
2021,,upper bound,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",
