Year,degree of urbanisation,sex,Series,Value
2018,rural areas,,housing cost overburden rate,10.4
2019,rural areas,,housing cost overburden rate,12.4
2020,rural areas,,housing cost overburden rate,6.8
2021,rural areas,,housing cost overburden rate,8.5
2010,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.3
2011,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2012,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.5
2013,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.3
2015,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.8
2016,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2017,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.5
2018,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.4
2019,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.0
2020,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.0
2021,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2010,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2011,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",14.1
2012,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2013,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.6
2015,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2016,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.5
2017,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.7
2018,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2019,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.3
2020,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.2
2021,,female,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2010,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.0
2011,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.4
2012,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.2
2013,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.1
2015,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.4
2016,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.7
2017,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.2
2018,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.2
2019,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",11.7
2020,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",11.8
2021,,male,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2010,,,"population having neither a bath, nor a shower in their dwelling",0.5
2011,,,"population having neither a bath, nor a shower in their dwelling",0.1
2012,,,"population having neither a bath, nor a shower in their dwelling",0.1
2013,,,"population having neither a bath, nor a shower in their dwelling",0.0
2014,,,"population having neither a bath, nor a shower in their dwelling",0.0
2015,,,"population having neither a bath, nor a shower in their dwelling",0.0
2016,,,"population having neither a bath, nor a shower in their dwelling",0.0
2017,,,"population having neither a bath, nor a shower in their dwelling",0.0
2018,,,"population having neither a bath, nor a shower in their dwelling",0.0
2019,,,"population having neither a bath, nor a shower in their dwelling",0.0
2020,,,"population having neither a bath, nor a shower in their dwelling",0.0
2021,,,"population having neither a bath, nor a shower in their dwelling",
2010,,female,"population having neither a bath, nor a shower in their dwelling",0.5
2011,,female,"population having neither a bath, nor a shower in their dwelling",0.1
2012,,female,"population having neither a bath, nor a shower in their dwelling",0.1
2013,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2014,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2015,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2016,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2017,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2018,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2019,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2020,,female,"population having neither a bath, nor a shower in their dwelling",0.0
2021,,female,"population having neither a bath, nor a shower in their dwelling",
2010,,male,"population having neither a bath, nor a shower in their dwelling",0.6
2011,,male,"population having neither a bath, nor a shower in their dwelling",0.1
2012,,male,"population having neither a bath, nor a shower in their dwelling",0.1
2013,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2014,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2015,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2016,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2017,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2018,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2019,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2020,,male,"population having neither a bath, nor a shower in their dwelling",0.0
2021,,male,"population having neither a bath, nor a shower in their dwelling",
2010,,,population not having indoor flushing toilet for the sole use of their household,1.6
2011,,,population not having indoor flushing toilet for the sole use of their household,0.9
2012,,,population not having indoor flushing toilet for the sole use of their household,0.9
2013,,,population not having indoor flushing toilet for the sole use of their household,0.1
2014,,,population not having indoor flushing toilet for the sole use of their household,0.0
2015,,,population not having indoor flushing toilet for the sole use of their household,0.1
2016,,,population not having indoor flushing toilet for the sole use of their household,0.1
2017,,,population not having indoor flushing toilet for the sole use of their household,0.1
2018,,,population not having indoor flushing toilet for the sole use of their household,0.0
2019,,,population not having indoor flushing toilet for the sole use of their household,0.2
2020,,,population not having indoor flushing toilet for the sole use of their household,0.0
2021,,,population not having indoor flushing toilet for the sole use of their household,
2010,,female,population not having indoor flushing toilet for the sole use of their household,1.7
2011,,female,population not having indoor flushing toilet for the sole use of their household,0.9
2012,,female,population not having indoor flushing toilet for the sole use of their household,1.0
2013,,female,population not having indoor flushing toilet for the sole use of their household,0.2
2014,,female,population not having indoor flushing toilet for the sole use of their household,0.0
2015,,female,population not having indoor flushing toilet for the sole use of their household,0.1
2016,,female,population not having indoor flushing toilet for the sole use of their household,0.1
2017,,female,population not having indoor flushing toilet for the sole use of their household,0.1
2018,,female,population not having indoor flushing toilet for the sole use of their household,0.1
2019,,female,population not having indoor flushing toilet for the sole use of their household,0.2
2020,,female,population not having indoor flushing toilet for the sole use of their household,0.0
2021,,female,population not having indoor flushing toilet for the sole use of their household,
2010,,male,population not having indoor flushing toilet for the sole use of their household,1.6
2011,,male,population not having indoor flushing toilet for the sole use of their household,0.8
2012,,male,population not having indoor flushing toilet for the sole use of their household,0.9
2013,,male,population not having indoor flushing toilet for the sole use of their household,0.1
2014,,male,population not having indoor flushing toilet for the sole use of their household,0.0
2015,,male,population not having indoor flushing toilet for the sole use of their household,0.1
2016,,male,population not having indoor flushing toilet for the sole use of their household,0.1
2017,,male,population not having indoor flushing toilet for the sole use of their household,0.1
2018,,male,population not having indoor flushing toilet for the sole use of their household,0.0
2019,,male,population not having indoor flushing toilet for the sole use of their household,0.3
2020,,male,population not having indoor flushing toilet for the sole use of their household,0.0
2021,,male,population not having indoor flushing toilet for the sole use of their household,
2010,,,population considering their dwelling as too dark,4.2
2011,,,population considering their dwelling as too dark,4.1
2012,,,population considering their dwelling as too dark,3.9
2013,,,population considering their dwelling as too dark,4.4
2014,,,population considering their dwelling as too dark,4.4
2015,,,population considering their dwelling as too dark,4.0
2016,,,population considering their dwelling as too dark,3.9
2017,,,population considering their dwelling as too dark,4.0
2018,,,population considering their dwelling as too dark,4.4
2019,,,population considering their dwelling as too dark,4.0
2020,,,population considering their dwelling as too dark,
2021,,,population considering their dwelling as too dark,
2010,,female,population considering their dwelling as too dark,3.9
2011,,female,population considering their dwelling as too dark,3.9
2012,,female,population considering their dwelling as too dark,3.9
2013,,female,population considering their dwelling as too dark,4.5
2014,,female,population considering their dwelling as too dark,4.3
2015,,female,population considering their dwelling as too dark,3.9
2016,,female,population considering their dwelling as too dark,3.8
2017,,female,population considering their dwelling as too dark,3.9
2018,,female,population considering their dwelling as too dark,4.4
2019,,female,population considering their dwelling as too dark,4.2
2020,,female,population considering their dwelling as too dark,
2021,,female,population considering their dwelling as too dark,
2010,,male,population considering their dwelling as too dark,4.5
2011,,male,population considering their dwelling as too dark,4.2
2012,,male,population considering their dwelling as too dark,3.9
2013,,male,population considering their dwelling as too dark,4.3
2014,,male,population considering their dwelling as too dark,4.5
2015,,male,population considering their dwelling as too dark,4.1
2016,,male,population considering their dwelling as too dark,3.9
2017,,male,population considering their dwelling as too dark,4.0
2018,,male,population considering their dwelling as too dark,4.4
2019,,male,population considering their dwelling as too dark,3.8
2020,,male,population considering their dwelling as too dark,
2021,,male,population considering their dwelling as too dark,
