Year,Units,timeseries,age group,sex,Value
2016,number,victims of criminal offences,14 to under 18 years,,82930.0
2017,number,victims of criminal offences,14 to under 18 years,,84071.0
2018,number,victims of criminal offences,14 to under 18 years,,84175.0
2019,number,victims of criminal offences,14 to under 18 years,,83713.0
2020,number,victims of criminal offences,14 to under 18 years,,76630.0
2021,number,victims of criminal offences,14 to under 18 years,,73160.0
2010,number,victims of criminal offences,18 to under 21 years,,109139.0
2011,number,victims of criminal offences,18 to under 21 years,,104427.0
2012,number,victims of criminal offences,18 to under 21 years,,99541.0
2013,number,victims of criminal offences,18 to under 21 years,,89880.0
2014,number,victims of criminal offences,18 to under 21 years,,83802.0
2015,number,victims of criminal offences,18 to under 21 years,,80941.0
2016,number,victims of criminal offences,18 to under 21 years,,88459.0
2017,number,victims of criminal offences,18 to under 21 years,,88834.0
2018,number,victims of criminal offences,18 to under 21 years,,89688.0
2019,number,victims of criminal offences,18 to under 21 years,,85885.0
2020,number,victims of criminal offences,18 to under 21 years,,78631.0
2021,number,victims of criminal offences,18 to under 21 years,,71267.0
2010,number,victims of criminal offences,21 to under 60 years,,600019.0
2011,number,victims of criminal offences,21 to under 60 years,,644770.0
2012,number,victims of criminal offences,21 to under 60 years,,666152.0
2013,number,victims of criminal offences,21 to under 60 years,,662202.0
2014,number,victims of criminal offences,21 to under 60 years,,663253.0
2015,number,victims of criminal offences,21 to under 60 years,,668823.0
2016,number,victims of criminal offences,21 to under 60 years,,716502.0
2017,number,victims of criminal offences,21 to under 60 years,,704139.0
2018,number,victims of criminal offences,21 to under 60 years,,715629.0
2019,number,victims of criminal offences,21 to under 60 years,,704911.0
2020,number,victims of criminal offences,21 to under 60 years,,713436.0
2021,number,victims of criminal offences,21 to under 60 years,,694085.0
2010,number,victims of criminal offences,60 years and older,,51601.0
2011,number,victims of criminal offences,60 years and older,,53191.0
2012,number,victims of criminal offences,60 years and older,,54798.0
2013,number,victims of criminal offences,60 years and older,,56688.0
2014,number,victims of criminal offences,60 years and older,,57981.0
2015,number,victims of criminal offences,60 years and older,,59377.0
2016,number,victims of criminal offences,60 years and older,,62192.0
2017,number,victims of criminal offences,60 years and older,,62646.0
2018,number,victims of criminal offences,60 years and older,,65159.0
2019,number,victims of criminal offences,60 years and older,,65767.0
2020,number,victims of criminal offences,60 years and older,,72659.0
2021,number,victims of criminal offences,60 years and older,,75347.0
2010,number,victims of criminal offences,,female,382263.0
2011,number,victims of criminal offences,,female,384661.0
2012,number,victims of criminal offences,,female,391566.0
2013,number,victims of criminal offences,,female,388258.0
2014,number,victims of criminal offences,,female,384786.0
2015,number,victims of criminal offences,,female,381892.0
2016,number,victims of criminal offences,,female,403500.0
2017,number,victims of criminal offences,,female,404035.0
2018,number,victims of criminal offences,,female,414147.0
2019,number,victims of criminal offences,,female,409968.0
2020,number,victims of criminal offences,,female,416931.0
2021,number,victims of criminal offences,,female,412503.0
2010,number,victims of criminal offences,,male,549863.0
2011,number,victims of criminal offences,,male,580284.0
2012,number,victims of criminal offences,,male,584524.0
2013,number,victims of criminal offences,,male,567479.0
2014,number,victims of criminal offences,,male,562782.0
2015,number,victims of criminal offences,,male,564241.0
2016,number,victims of criminal offences,,male,614102.0
2017,number,victims of criminal offences,,male,604475.0
2018,number,victims of criminal offences,,male,611094.0
2019,number,victims of criminal offences,,male,603080.0
2020,number,victims of criminal offences,,male,594531.0
2021,number,victims of criminal offences,,male,573287.0
