Year,Units,timeseries,Value
2010,2015 = 100,labour productivity per hour worked by persons employed,94.9
2011,2015 = 100,labour productivity per hour worked by persons employed,97.4
2012,2015 = 100,labour productivity per hour worked by persons employed,98.0
2013,2015 = 100,labour productivity per hour worked by persons employed,98.5
2014,2015 = 100,labour productivity per hour worked by persons employed,99.5
2015,2015 = 100,labour productivity per hour worked by persons employed,100.0
2016,2015 = 100,labour productivity per hour worked by persons employed,101.4
2017,2015 = 100,labour productivity per hour worked by persons employed,103.2
2018,2015 = 100,labour productivity per hour worked by persons employed,103.4
2019,2015 = 100,labour productivity per hour worked by persons employed,104.2
2020,2015 = 100,labour productivity per hour worked by persons employed,105.2
2021,2015 = 100,labour productivity per hour worked by persons employed,106.1
2010,1 000,persons employed,41048.0
2011,1 000,persons employed,41544.0
2012,1 000,persons employed,42019.0
2013,1 000,persons employed,42350.0
2014,1 000,persons employed,42721.0
2015,1 000,persons employed,43122.0
2016,1 000,persons employed,43661.0
2017,1 000,persons employed,44251.0
2018,1 000,persons employed,44866.0
2019,1 000,persons employed,45277.0
2020,1 000,persons employed,44915.0
2021,1 000,persons employed,44980.0
2010,2015 = 100,real gdp per capita,93.6
2011,2015 = 100,real gdp per capita,97.3
2012,2015 = 100,real gdp per capita,97.5
2013,2015 = 100,real gdp per capita,97.6
2014,2015 = 100,real gdp per capita,99.4
2015,2015 = 100,real gdp per capita,100.0
2016,2015 = 100,real gdp per capita,101.4
2017,2015 = 100,real gdp per capita,103.7
2018,2015 = 100,real gdp per capita,104.4
2019,2015 = 100,real gdp per capita,105.3
2020,2015 = 100,real gdp per capita,101.3
2021,2015 = 100,real gdp per capita,104.0
2010,billion eur,trade balance,134.9
2011,billion eur,trade balance,132.2
2012,billion eur,trade balance,167.5
2013,billion eur,trade balance,161.9
2014,billion eur,trade balance,193.8
2015,billion eur,trade balance,229.8
2016,billion eur,trade balance,231.2
2017,billion eur,trade balance,231.6
2018,billion eur,trade balance,205.2
2019,billion eur,trade balance,196.3
2020,billion eur,trade balance,191.7
2021,billion eur,trade balance,191.6
