Year,timeseries,age group,sex,Value
2011,victims of sexual harassment,21 to under 60 years,,5125
2012,victims of sexual harassment,21 to under 60 years,,5438
2013,victims of sexual harassment,21 to under 60 years,,5293
2014,victims of sexual harassment,21 to under 60 years,,5463
2015,victims of sexual harassment,21 to under 60 years,,5446
2016,victims of sexual harassment,21 to under 60 years,,5894
2017,victims of sexual harassment,21 to under 60 years,,5581
2018,victims of sexual harassment,21 to under 60 years,,6041
2019,victims of sexual harassment,21 to under 60 years,,5656
2020,victims of sexual harassment,21 to under 60 years,,6488
2021,victims of sexual harassment,21 to under 60 years,,6252
2010,victims of sexual harassment,21 to under 60 years,female,4192
2011,victims of sexual harassment,21 to under 60 years,female,4468
2012,victims of sexual harassment,21 to under 60 years,female,4801
2013,victims of sexual harassment,21 to under 60 years,female,4672
2014,victims of sexual harassment,21 to under 60 years,female,4761
2015,victims of sexual harassment,21 to under 60 years,female,4734
2016,victims of sexual harassment,21 to under 60 years,female,5097
2017,victims of sexual harassment,21 to under 60 years,female,4816
2018,victims of sexual harassment,21 to under 60 years,female,5219
2019,victims of sexual harassment,21 to under 60 years,female,4743
2020,victims of sexual harassment,21 to under 60 years,female,5489
2021,victims of sexual harassment,21 to under 60 years,female,5234
2010,victims of sexual harassment,21 to under 60 years,male,605
2011,victims of sexual harassment,21 to under 60 years,male,657
2012,victims of sexual harassment,21 to under 60 years,male,637
2013,victims of sexual harassment,21 to under 60 years,male,621
2014,victims of sexual harassment,21 to under 60 years,male,702
2015,victims of sexual harassment,21 to under 60 years,male,712
2016,victims of sexual harassment,21 to under 60 years,male,797
2017,victims of sexual harassment,21 to under 60 years,male,765
2018,victims of sexual harassment,21 to under 60 years,male,822
2019,victims of sexual harassment,21 to under 60 years,male,913
2020,victims of sexual harassment,21 to under 60 years,male,999
2021,victims of sexual harassment,21 to under 60 years,male,1018
2010,victims of sexual harassment,60 years and older,,663
2011,victims of sexual harassment,60 years and older,,713
2012,victims of sexual harassment,60 years and older,,704
2013,victims of sexual harassment,60 years and older,,732
2014,victims of sexual harassment,60 years and older,,716
2015,victims of sexual harassment,60 years and older,,768
2016,victims of sexual harassment,60 years and older,,780
2017,victims of sexual harassment,60 years and older,,751
2018,victims of sexual harassment,60 years and older,,809
2019,victims of sexual harassment,60 years and older,,738
2020,victims of sexual harassment,60 years and older,,797
2021,victims of sexual harassment,60 years and older,,790
2010,victims of sexual harassment,60 years and older,female,592
2011,victims of sexual harassment,60 years and older,female,618
2012,victims of sexual harassment,60 years and older,female,626
2013,victims of sexual harassment,60 years and older,female,668
2014,victims of sexual harassment,60 years and older,female,638
2015,victims of sexual harassment,60 years and older,female,671
2016,victims of sexual harassment,60 years and older,female,702
2017,victims of sexual harassment,60 years and older,female,659
2018,victims of sexual harassment,60 years and older,female,689
2019,victims of sexual harassment,60 years and older,female,662
2020,victims of sexual harassment,60 years and older,female,676
2021,victims of sexual harassment,60 years and older,female,689
2010,victims of sexual harassment,60 years and older,male,71
2011,victims of sexual harassment,60 years and older,male,95
2012,victims of sexual harassment,60 years and older,male,78
2013,victims of sexual harassment,60 years and older,male,64
2014,victims of sexual harassment,60 years and older,male,78
2015,victims of sexual harassment,60 years and older,male,97
2016,victims of sexual harassment,60 years and older,male,78
2017,victims of sexual harassment,60 years and older,male,92
2018,victims of sexual harassment,60 years and older,male,120
2019,victims of sexual harassment,60 years and older,male,76
2020,victims of sexual harassment,60 years and older,male,121
2021,victims of sexual harassment,60 years and older,male,101
